municipio,variavel,coeficiente,std_err,p_value,beta_padronizado,r2,r2_ajustado,n,intercepto
Porto Murtinho,valor_industria,-0.0010577447980918697,0.002069531237718722,0.6250000902221466,-0.047578175671877235,0.985357486335813,0.9769903356705633,12,3062.6560956363273
Rio Verde de Mato Grosso,pib_per_capita,0.006773080079422289,0.006071796073804492,0.3014619486087626,0.23187682160215944,0.995911532201399,0.9935752648879128,12,2020.7499540438075
Rio Verde de Mato Grosso,valor_administracao_publica,0.003870655191210451,0.0008654846555833809,0.002893132820919265,0.7360887490281908,0.995911532201399,0.9935752648879128,12,2020.7499540438075
Rio Verde de Mato Grosso,valor_agropecuaria,0.000316699131679872,0.0005052263696549909,0.5506488434544834,0.08836448898325008,0.995911532201399,0.9935752648879128,12,2020.7499540438075
Rio Verde de Mato Grosso,valor_industria,-0.0010016058219151358,0.0017521790725476207,0.5854486461807327,-0.05237018618693705,0.995911532201399,0.9935752648879128,12,2020.7499540438075
Santo Antônio do Leverger,pib_per_capita,0.01570009282808066,0.0032768023202208872,0.0019861842050865456,1.0539107729998616,0.9947202169753713,0.9917031981041549,12,1582.3074904169116
Santo Antônio do Leverger,valor_administracao_publica,0.0040434816422693295,0.0005262102541543616,0.00011777553833030398,0.6484760957533338,0.9947202169753713,0.9917031981041549,12,1582.3074904169116
Santo Antônio do Leverger,valor_agropecuaria,-0.0010855195216391018,0.0001710686380788499,0.00038688418064850125,-0.812765547023435,0.9947202169753713,0.9917031981041549,12,1582.3074904169116
Santo Antônio do Leverger,valor_industria,-0.00017366492106626885,0.0010682803799102406,0.875454327029306,-0.015610698017318434,0.9947202169753713,0.9917031981041549,12,1582.3074904169116
Sonora,pib_per_capita,-0.00048038347715146507,0.0019304005324940244,0.8106190018305007,-0.14272893870227968,0.9274790336235212,0.8860384814083906,12,428.15381960171857
Sonora,valor_administracao_publica,0.0007833014111087947,0.00032950624999221554,0.04908394926563478,0.9842157876995646,0.9274790336235212,0.8860384814083906,12,428.15381960171857
Sonora,valor_agropecuaria,4.675209448412598e-06,0.00012478363502512176,0.9711591259080251,0.015453066393017571,0.9274790336235212,0.8860384814083906,12,428.15381960171857
Sonora,valor_industria,6.590837886821105e-05,0.0002001952820485662,0.7516203535350097,0.10329858269662608,0.9274790336235212,0.8860384814083906,12,428.15381960171857
